code,alt_code,usage,usage_uk,description,modifier_4,modifier_5,qualifiers,gender_mask,min_age,max_age,tree_description
I731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
